,,5refs,,,,1refs,,,,8refs,,,,2refs,,,,6refs,,,,3refs,,,,4refs,,,,gold,,,,7refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
32,4,0.24725274725274726,ORDERED with align,32,4,0.24725274725274726,ORDERED with align,32,4,0.24725274725274726,ORDERED with align,29,6,0.28928571428571426,ORDERED with align,32,4,0.24725274725274726,ORDERED with align,29,6,0.28928571428571426,ORDERED with align,32,4,0.24725274725274726,ORDERED with align,19,1,0.985294117647059,ORDERED with align,32,4,0.24725274725274726,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,13,6,0.17032967032967034,ORDERED with align,2,0,1.0,ORDERED with align,13,6,0.17032967032967034,ORDERED with align,13,7,0.7178571428571427,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
25,7,0.0964285714285714,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,25,7,0.0964285714285714,ORDERED with align,25,7,0.0964285714285714,ORDERED with align,25,7,0.0964285714285714,ORDERED with align,25,7,0.0964285714285714,ORDERED with align,23,7,0.18214285714285713,ORDERED with align,16,6,0.9233766233766234,ORDERED with align,25,7,0.0964285714285714,ORDERED with align
19,5,0.06293706293706294,ORDERED with align,19,5,0.06293706293706294,ORDERED with align,19,5,0.06293706293706294,ORDERED with align,19,5,0.06293706293706294,ORDERED with align,19,5,0.06293706293706294,ORDERED with align,19,5,0.06293706293706294,ORDERED with align,19,5,0.06293706293706294,ORDERED with align,6,1,0.9790209790209792,ORDERED with align,19,5,0.06293706293706294,ORDERED with align
24,11,0.5389610389610389,ORDERED with align,21,7,0.19999999999999998,ORDERED with align,24,11,0.5389610389610389,ORDERED with align,24,11,0.5389610389610389,ORDERED with align,24,11,0.5389610389610389,ORDERED with align,24,11,0.5389610389610389,ORDERED with align,24,11,0.5389610389610389,ORDERED with align,5,2,0.9582156973461323,ORDERED with align,24,11,0.5389610389610389,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,9,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
32,16,0.4805692391899289,ORDERED with align,33,6,0.23076923076923078,ORDERED with align,32,16,0.4805692391899289,ORDERED with align,32,16,0.4805692391899289,ORDERED with align,32,16,0.4805692391899289,ORDERED with align,32,14,0.5251231527093595,ORDERED with align,33,6,0.23076923076923078,ORDERED with align,17,2,0.9909090909090909,ORDERED with align,32,16,0.4805692391899289,ORDERED with align
14,4,0.47802197802197804,ORDERED with align,30,7,0.0823529411764706,ORDERED with align,15,2,0.5666666666666667,ORDERED with align,35,4,0.46153846153846156,ORDERED with align,14,4,0.47802197802197804,ORDERED with align,14,5,0.5384615384615384,ORDERED with align,15,2,0.5666666666666667,ORDERED with align,5,5,0.5964285714285712,ORDERED with align,14,4,0.47802197802197804,ORDERED with align
25,5,-0.3,ORDERED with align,24,5,0.16363636363636364,ORDERED with align,23,7,0.2087912087912088,ORDERED with align,23,7,0.17032967032967034,ORDERED with align,25,5,-0.3,ORDERED with align,25,5,-0.3,ORDERED with align,26,15,0.4033935413245758,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,25,5,-0.3,ORDERED with align
33,4,0.29090909090909095,ORDERED with align,33,4,0.29090909090909095,ORDERED with align,33,3,0.3545454545454546,ORDERED with align,12,4,0.19999999999999998,ORDERED with align,33,3,0.3545454545454546,ORDERED with align,12,3,0.39999999999999997,ORDERED with align,33,4,0.29090909090909095,ORDERED with align,0,0,1.0,ORDERED with align,33,4,0.29090909090909095,ORDERED with align
7,4,-0.11904761904761905,ORDERED with align,9,4,0.14285714285714288,ORDERED with align,7,4,-0.11904761904761905,ORDERED with align,9,4,0.14285714285714288,ORDERED with align,9,4,0.14285714285714288,ORDERED with align,34,5,0.6166666666666666,ORDERED with align,7,4,-0.11904761904761905,ORDERED with align,2,1,-0.5,ORDERED with align,7,4,-0.11904761904761905,ORDERED with align
15,3,0.5333333333333333,ORDERED with align,25,3,0.2833333333333333,ORDERED with align,15,3,0.5333333333333333,ORDERED with align,15,3,0.5333333333333333,ORDERED with align,25,3,0.2833333333333333,ORDERED with align,25,3,0.2833333333333333,ORDERED with align,25,3,0.2833333333333333,ORDERED with align,4,2,0.8833333333333333,ORDERED with align,25,3,0.2833333333333333,ORDERED with align
20,7,0.4730392156862746,ORDERED with align,2,0,1.0,ORDERED with align,20,7,0.4730392156862746,ORDERED with align,20,7,0.4730392156862746,ORDERED with align,2,0,1.0,ORDERED with align,16,4,0.6484848484848483,ORDERED with align,2,0,1.0,ORDERED with align,3,1,0.9868131868131869,ORDERED with align,2,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,14,4,0.39860139860139865,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
18,7,0.6794117647058824,ORDERED with align,18,7,0.6794117647058824,ORDERED with align,1,0,1.0,ORDERED with align,18,7,0.6794117647058824,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,18,7,0.6794117647058824,ORDERED with align,14,4,-0.22727272727272727,ORDERED with align,1,0,1.0,ORDERED with align
25,9,0.17234262125902994,ORDERED with align,25,9,0.17234262125902994,ORDERED with align,25,6,-0.19230769230769232,ORDERED with align,25,9,0.17234262125902994,ORDERED with align,25,6,-0.19230769230769232,ORDERED with align,25,6,-0.19230769230769232,ORDERED with align,25,9,0.17234262125902994,ORDERED with align,10,1,0.9988706945228685,ORDERED with align,25,6,-0.19230769230769232,ORDERED with align
23,8,0.2747252747252747,ORDERED with align,23,8,0.2747252747252747,ORDERED with align,23,8,0.2747252747252747,ORDERED with align,23,8,0.2747252747252747,ORDERED with align,23,8,0.2747252747252747,ORDERED with align,23,8,0.2747252747252747,ORDERED with align,1,0,1.0,ORDERED with align,5,1,0.6623376623376622,ORDERED with align,23,8,0.2747252747252747,ORDERED with align
25,7,-0.16483516483516483,ORDERED with align,14,4,0.5664335664335665,ORDERED with align,25,7,-0.16483516483516483,ORDERED with align,25,7,-0.16483516483516483,ORDERED with align,25,6,0.010989010989010988,ORDERED with align,26,6,0.1188811188811189,ORDERED with align,13,7,0.06071428571428571,ORDERED with align,0,0,1.0,ORDERED with align,25,6,0.010989010989010988,ORDERED with align
14,5,-0.3076923076923077,ORDERED with align,24,9,0.2,ORDERED with align,14,5,0.2027972027972028,ORDERED with align,14,5,-0.3076923076923077,ORDERED with align,14,5,-0.3076923076923077,ORDERED with align,14,5,-0.3076923076923077,ORDERED with align,14,5,0.2027972027972028,ORDERED with align,5,3,0.4835164835164835,ORDERED with align,14,5,-0.3076923076923077,ORDERED with align
26,9,0.09068627450980393,ORDERED with align,26,9,0.09068627450980393,ORDERED with align,26,9,0.09068627450980393,ORDERED with align,26,9,0.09068627450980393,ORDERED with align,26,9,0.09068627450980393,ORDERED with align,26,8,-0.12500000000000003,ORDERED with align,26,9,0.09068627450980393,ORDERED with align,2,0,1.0,ORDERED with align,26,9,0.09068627450980393,ORDERED with align
29,11,0.43986448334274425,ORDERED with align,29,11,0.43986448334274425,ORDERED with align,30,9,0.5132693393562959,ORDERED with align,30,9,0.5132693393562959,ORDERED with align,30,9,0.5132693393562959,ORDERED with align,29,11,0.43986448334274425,ORDERED with align,30,9,0.5132693393562959,ORDERED with align,1,0,1.0,ORDERED with align,30,9,0.5132693393562959,ORDERED with align
14,4,0.04895104895104895,ORDERED with align,14,4,0.04895104895104895,ORDERED with align,14,4,0.04895104895104895,ORDERED with align,14,4,0.04895104895104895,ORDERED with align,14,4,0.04895104895104895,ORDERED with align,14,4,0.04895104895104895,ORDERED with align,14,4,0.04895104895104895,ORDERED with align,2,0,1.0,ORDERED with align,14,4,0.04895104895104895,ORDERED with align
31,10,0.2508771929824561,ORDERED with align,31,10,0.2508771929824561,ORDERED with align,31,10,0.2508771929824561,ORDERED with align,31,10,0.2508771929824561,ORDERED with align,31,10,0.2508771929824561,ORDERED with align,31,10,0.2508771929824561,ORDERED with align,32,5,0.37762237762237766,ORDERED with align,2,14,0.2252673796791444,ORDERED with align,31,10,0.2508771929824561,ORDERED with align
12,5,0.1398601398601399,ORDERED with align,32,8,0.4970588235294117,ORDERED with align,32,8,0.4970588235294117,ORDERED with align,12,5,0.1398601398601399,ORDERED with align,12,5,0.1398601398601399,ORDERED with align,12,5,0.1398601398601399,ORDERED with align,20,5,0.40659340659340654,ORDERED with align,2,0,1.0,ORDERED with align,32,8,0.4970588235294117,ORDERED with align
29,9,0.5087719298245614,ORDERED with align,17,5,0.6503496503496504,ORDERED with align,17,5,0.6503496503496504,ORDERED with align,30,7,0.4592363261093911,ORDERED with align,29,9,0.5087719298245614,ORDERED with align,29,9,0.5087719298245614,ORDERED with align,29,9,0.5087719298245614,ORDERED with align,5,3,0.9235294117647058,ORDERED with align,17,5,0.6503496503496504,ORDERED with align
33,7,0.26103896103896107,ORDERED with align,33,7,0.26103896103896107,ORDERED with align,33,8,0.5454545454545454,ORDERED with align,30,9,0.6571146245059288,ORDERED with align,33,8,0.5454545454545454,ORDERED with align,21,7,0.6719298245614035,ORDERED with align,33,7,0.26103896103896107,ORDERED with align,8,0,1.0,ORDERED with align,33,8,0.5454545454545454,ORDERED with align
15,4,0.13636363636363638,ORDERED with align,23,3,0.7000000000000001,ORDERED with align,16,5,0.3090909090909091,ORDERED with align,17,2,0.31468531468531474,ORDERED with align,23,3,0.7000000000000001,ORDERED with align,16,5,0.3090909090909091,ORDERED with align,23,3,0.7000000000000001,ORDERED with align,4,0,1.0,ORDERED with align,23,3,0.7000000000000001,ORDERED with align
21,8,0.5543859649122806,ORDERED with align,15,8,0.10049019607843139,ORDERED with align,1,0,1.0,ORDERED with align,15,8,0.10049019607843139,ORDERED with align,14,9,0.1323529411764706,ORDERED with align,33,7,0.8807017543859648,ORDERED with align,1,0,1.0,ORDERED with align,5,1,0.9964285714285712,ORDERED with align,15,8,0.10049019607843139,ORDERED with align
17,7,0.0945054945054945,ORDERED with align,17,7,0.0945054945054945,ORDERED with align,22,9,0.48214285714285704,ORDERED with align,22,9,0.48214285714285704,ORDERED with align,17,7,0.0945054945054945,ORDERED with align,22,9,0.48214285714285704,ORDERED with align,1,0,1.0,ORDERED with align,11,3,0.6428571428571429,ORDERED with align,17,7,0.0945054945054945,ORDERED with align
25,8,0.42401960784313725,ORDERED with align,25,8,0.42401960784313725,ORDERED with align,25,8,0.42401960784313725,ORDERED with align,24,10,0.5824561403508772,ORDERED with align,25,8,0.42401960784313725,ORDERED with align,25,8,0.42401960784313725,ORDERED with align,25,8,0.42401960784313725,ORDERED with align,8,0,1.0,ORDERED with align,25,8,0.42401960784313725,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,15,8,0.15882352941176472,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,4,1,0.6470588235294118,ORDERED with align,1,0,1.0,ORDERED with align
33,10,0.4330827067669173,ORDERED with align,33,10,0.4330827067669173,ORDERED with align,33,10,0.4330827067669173,ORDERED with align,33,10,0.4330827067669173,ORDERED with align,33,10,0.4330827067669173,ORDERED with align,34,12,0.28478632478632476,ORDERED with align,33,10,0.4330827067669173,ORDERED with align,8,2,0.996358543417367,ORDERED with align,33,10,0.4330827067669173,ORDERED with align
25,7,0.36274509803921573,ORDERED with align,25,7,0.36274509803921573,ORDERED with align,16,4,0.3916083916083916,ORDERED with align,25,7,0.36274509803921573,ORDERED with align,25,7,0.36274509803921573,ORDERED with align,16,4,0.3916083916083916,ORDERED with align,25,7,0.36274509803921573,ORDERED with align,4,0,1.0,ORDERED with align,25,7,0.36274509803921573,ORDERED with align
22,5,0.5384615384615385,ORDERED with align,22,5,0.5384615384615385,ORDERED with align,23,12,0.38932806324110675,ORDERED with align,22,5,0.5384615384615385,ORDERED with align,22,6,0.5879120879120878,ORDERED with align,1,0,1.0,ORDERED with align,22,6,0.5879120879120878,ORDERED with align,6,1,0.9411764705882353,ORDERED with align,22,6,0.5879120879120878,ORDERED with align
2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,6,3,-0.33333333333333337,ORDERED with align,2,0,1.0,ORDERED with align
28,3,0.5714285714285715,ORDERED with align,28,3,0.5714285714285715,ORDERED with align,28,3,0.5714285714285715,ORDERED with align,28,3,0.5714285714285715,ORDERED with align,28,3,0.5714285714285715,ORDERED with align,28,3,0.5714285714285715,ORDERED with align,28,3,0.5714285714285715,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,28,3,0.5714285714285715,ORDERED with align
38,4,0.7132867132867133,ORDERED with align,38,4,0.7132867132867133,ORDERED with align,38,4,0.7132867132867133,ORDERED with align,38,4,0.7132867132867133,ORDERED with align,38,4,0.7132867132867133,ORDERED with align,38,4,0.7132867132867133,ORDERED with align,38,4,0.7132867132867133,ORDERED with align,4,3,-0.6454545454545455,ORDERED with align,38,4,0.7132867132867133,ORDERED with align
11,3,0.5,ORDERED with align,11,3,0.5,ORDERED with align,11,3,0.5,ORDERED with align,11,3,0.5,ORDERED with align,11,3,0.5,ORDERED with align,29,3,0.6904761904761906,ORDERED with align,11,3,0.5,ORDERED with align,0,0,1.0,ORDERED with align,11,3,0.5,ORDERED with align
28,9,0.07532467532467534,ORDERED with align,28,9,0.07532467532467534,ORDERED with align,28,9,0.07532467532467534,ORDERED with align,28,9,0.07532467532467534,ORDERED with align,28,9,0.07532467532467534,ORDERED with align,21,3,0.35757575757575755,ORDERED with align,28,9,0.07532467532467534,ORDERED with align,3,2,0.9597402597402598,ORDERED with align,28,9,0.07532467532467534,ORDERED with align
21,3,0.3181818181818182,ORDERED with align,21,3,0.3181818181818182,ORDERED with align,20,6,0.5034965034965035,ORDERED with align,20,5,0.5272727272727273,ORDERED with align,20,5,0.5272727272727273,ORDERED with align,19,5,0.22727272727272727,ORDERED with align,21,3,0.3181818181818182,ORDERED with align,2,2,0.8870694522868439,ORDERED with align,21,3,0.3181818181818182,ORDERED with align
11,1,0.261904761904762,ORDERED with align,11,1,0.261904761904762,ORDERED with align,9,4,0.33333333333333337,ORDERED with align,9,4,0.33333333333333337,ORDERED with align,9,4,0.33333333333333337,ORDERED with align,11,1,0.261904761904762,ORDERED with align,11,1,0.261904761904762,ORDERED with align,2,0,1.0,ORDERED with align,11,2,0.523809523809524,ORDERED with align
21,6,-0.38181818181818183,ORDERED with align,21,6,-0.38181818181818183,ORDERED with align,21,6,-0.38181818181818183,ORDERED with align,21,6,-0.38181818181818183,ORDERED with align,21,4,0.3696969696969697,ORDERED with align,21,4,0.3696969696969697,ORDERED with align,21,6,-0.38181818181818183,ORDERED with align,0,0,1.0,ORDERED with align,21,6,-0.38181818181818183,ORDERED with align
21,4,0.31666666666666665,ORDERED with align,21,4,0.31666666666666665,ORDERED with align,21,4,0.31666666666666665,ORDERED with align,21,4,0.31666666666666665,ORDERED with align,21,5,0.41666666666666663,ORDERED with align,21,5,0.41666666666666663,ORDERED with align,21,4,0.31666666666666665,ORDERED with align,2,1,0.9878787878787878,ORDERED with align,21,4,0.31666666666666665,ORDERED with align
19,4,0.4761904761904762,ORDERED with align,22,5,0.5035714285714286,ORDERED with align,22,5,0.5035714285714286,ORDERED with align,19,4,0.4761904761904762,ORDERED with align,19,4,0.4761904761904762,ORDERED with align,2,0,1.0,ORDERED with align,19,4,0.4761904761904762,ORDERED with align,9,3,0.8321428571428571,ORDERED with align,19,4,0.4761904761904762,ORDERED with align
2,0,1.0,ORDERED with align,16,3,0.6333333333333333,ORDERED with align,24,3,0.4175824175824176,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,16,3,0.6333333333333333,ORDERED with align,2,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
21,8,0.38421052631578945,ORDERED with align,21,8,0.38421052631578945,ORDERED with align,22,3,0.5952380952380953,ORDERED with align,21,8,0.38421052631578945,ORDERED with align,21,8,0.38421052631578945,ORDERED with align,23,7,0.6764705882352942,ORDERED with align,21,8,0.38421052631578945,ORDERED with align,7,3,0.9454545454545454,ORDERED with align,21,8,0.38421052631578945,ORDERED with align
7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,7,4,0.3571428571428572,ORDERED with align,4,0,1.0,ORDERED with align,7,4,0.3571428571428572,ORDERED with align
33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,33,9,0.5622529644268774,ORDERED with align,5,1,0.9488636363636365,ORDERED with align,33,9,0.5622529644268774,ORDERED with align
29,9,0.6090225563909774,ORDERED with align,29,9,0.6090225563909774,ORDERED with align,29,9,0.6090225563909774,ORDERED with align,29,9,0.6090225563909774,ORDERED with align,29,9,0.6090225563909774,ORDERED with align,29,9,0.6090225563909774,ORDERED with align,3,1,0.9939516129032261,ORDERED with align,12,8,0.9590964590964591,ORDERED with align,29,9,0.6090225563909774,ORDERED with align
25,9,0.5025974025974026,ORDERED with align,25,9,0.5025974025974026,ORDERED with align,25,9,0.5025974025974026,ORDERED with align,25,9,0.5025974025974026,ORDERED with align,25,9,0.5025974025974026,ORDERED with align,25,9,0.5025974025974026,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,25,9,0.5025974025974026,ORDERED with align
18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,18,2,0.5357142857142858,ORDERED with align,4,1,0.39999999999999997,ORDERED with align,18,2,0.5357142857142858,ORDERED with align
20,7,0.7392857142857142,ORDERED with align,20,7,0.7392857142857142,ORDERED with align,20,7,0.7392857142857142,ORDERED with align,20,7,0.7392857142857142,ORDERED with align,20,7,0.7392857142857142,ORDERED with align,20,7,0.7392857142857142,ORDERED with align,31,10,0.012280701754385965,ORDERED with align,4,1,0.9979360165118679,ORDERED with align,31,10,0.02456140350877193,ORDERED with align
26,17,0.2998712998712999,ORDERED with align,26,17,0.2998712998712999,ORDERED with align,26,18,0.25405405405405407,ORDERED with align,26,17,0.2998712998712999,ORDERED with align,26,18,0.25405405405405407,ORDERED with align,26,17,0.2998712998712999,ORDERED with align,32,8,0.17647058823529413,ORDERED with align,4,1,0.9935828877005346,ORDERED with align,32,8,0.17647058823529413,ORDERED with align
