,,2refs,,,,gold,,,,4refs,,,,3refs,,,,6refs,,,,5refs,,,,1refs,,,,8refs,,,,7refs,
words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by,words_differences,index_differences,spearman_differences,aligned_by
19,0,1.0,ORDERED with align,19,1,0.985294117647059,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,0.9999999999999998,ORDERED with align,16,6,0.9233766233766234,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,2,0,0.9999999999999998,ORDERED with align
2,0,1.0,ORDERED with align,6,1,0.9790209790209792,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,5,2,0.9582156973461323,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,9,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
2,0,1.0,ORDERED with align,17,2,0.9909090909090909,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,5,5,0.5964285714285712,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,11,3,0.9264705882352943,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align,1,0,0.9999999999999998,ORDERED with align
1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,2,1,-0.5,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,4,2,0.8833333333333333,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,4,1,0.942857142857143,ORDERED with align,2,0,1.0,ORDERED with align,4,1,0.942857142857143,ORDERED with align,4,1,0.942857142857143,ORDERED with align,2,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,3,1,0.9868131868131869,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
6,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,6,0,1.0,ORDERED with align,6,0,1.0,ORDERED with align,6,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,14,4,-0.22727272727272727,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,0.9999999999999999,ORDERED with align,10,1,0.9988706945228685,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
11,2,0.7464285714285712,ORDERED with align,5,1,0.6623376623376622,ORDERED with align,15,1,0.9454545454545454,ORDERED with align,4,1,0.9932241671372107,ORDERED with align,15,1,0.9454545454545454,ORDERED with align,4,1,0.9932241671372107,ORDERED with align,11,2,0.7464285714285712,ORDERED with align,15,1,0.9454545454545454,ORDERED with align,15,1,0.9454545454545454,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,5,3,0.4835164835164835,ORDERED with align,2,1,0.9970588235294118,ORDERED with align,0,1,0.9970588235294118,ORDERED with align,2,1,0.9970588235294118,ORDERED with align,0,1,0.9970588235294118,ORDERED with align,2,1,0.9970588235294118,ORDERED with align,2,0,1.0,ORDERED with align,2,1,0.9970588235294118,ORDERED with align
0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,2,14,0.2252673796791444,ORDERED with align,1,0,1.0,ORDERED with align,4,3,0.9964404894327029,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
11,0,1.0,ORDERED with align,5,3,0.9235294117647058,ORDERED with align,2,1,0.9793601651186791,ORDERED with align,11,0,1.0,ORDERED with align,2,1,0.9793601651186791,ORDERED with align,4,2,0.9676470588235294,ORDERED with align,2,1,0.9793601651186791,ORDERED with align,2,1,0.9793601651186791,ORDERED with align,4,2,0.9676470588235294,ORDERED with align
0,0,1.0,ORDERED with align,8,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
4,0,0.9999999999999999,ORDERED with align,4,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align
5,0,1.0,ORDERED with align,5,1,0.9964285714285712,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,11,3,0.6428571428571429,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,7,2,0.9151515151515152,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
10,0,1.0,ORDERED with align,8,0,1.0,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,17,0,1.0,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,0,0,1.0,ORDERED with align,17,0,1.0,ORDERED with align,17,0,1.0,ORDERED with align
10,0,1.0,ORDERED with align,4,1,0.6470588235294118,ORDERED with align,10,0,1.0,ORDERED with align,10,0,1.0,ORDERED with align,10,0,1.0,ORDERED with align,10,0,1.0,ORDERED with align,10,0,1.0,ORDERED with align,10,0,1.0,ORDERED with align,10,0,1.0,ORDERED with align
31,0,1.0,ORDERED with align,8,2,0.996358543417367,ORDERED with align,31,0,1.0,ORDERED with align,31,0,1.0,ORDERED with align,31,0,1.0,ORDERED with align,31,0,1.0,ORDERED with align,4,1,0.846846846846847,ORDERED with align,31,0,1.0,ORDERED with align,31,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,6,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,6,1,0.9411764705882353,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,6,3,-0.33333333333333337,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
8,0,1.0,ORDERED with align,2,0,0.9999999999999999,ORDERED with align,3,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,4,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999998,ORDERED with align,8,0,1.0,ORDERED with align,4,0,0.9999999999999999,ORDERED with align
0,0,1.0,ORDERED with align,4,3,-0.6454545454545455,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
9,2,0.9147058823529413,ORDERED with align,3,2,0.9597402597402598,ORDERED with align,9,2,0.9147058823529413,ORDERED with align,11,2,0.9147058823529413,ORDERED with align,16,3,0.006060606060606061,ORDERED with align,9,1,0.8999999999999999,ORDERED with align,16,3,0.006060606060606061,ORDERED with align,11,2,0.9147058823529413,ORDERED with align,9,2,0.9147058823529413,ORDERED with align
1,0,1.0,ORDERED with align,2,2,0.8870694522868439,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,2,1,0.9878787878787878,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,9,3,0.8321428571428571,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,5,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,7,3,0.9454545454545454,ORDERED with align,2,1,0.7391304347826088,ORDERED with align,18,2,0.39285714285714296,ORDERED with align,18,2,0.39285714285714296,ORDERED with align,2,1,0.7391304347826088,ORDERED with align,18,2,0.39285714285714296,ORDERED with align,2,1,0.7391304347826088,ORDERED with align,2,1,0.7391304347826088,ORDERED with align
2,1,0.9878787878787878,ORDERED with align,4,0,1.0,ORDERED with align,2,1,0.9878787878787878,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,1,0.9878787878787878,ORDERED with align,4,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,1,0.9878787878787878,ORDERED with align
3,0,1.0,ORDERED with align,5,1,0.9488636363636365,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,12,8,0.9590964590964591,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
3,0,1.0,ORDERED with align,4,1,0.39999999999999997,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align
8,0,1.0,ORDERED with align,4,1,0.9979360165118679,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
2,0,1.0,ORDERED with align,4,1,0.9935828877005346,ORDERED with align,1,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,3,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,20,6,0.6584415584415585,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,1,0.9982456140350877,ORDERED with align,10,0,0.9999999999999999,ORDERED with align,1,1,0.9982456140350877,ORDERED with align,1,1,0.9982456140350877,ORDERED with align,1,1,0.9982456140350877,ORDERED with align,1,1,0.9982456140350877,ORDERED with align,0,0,1.0,ORDERED with align,1,1,0.9982456140350877,ORDERED with align,1,1,0.9982456140350877,ORDERED with align
1,0,1.0,ORDERED with align,8,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,5,3,-0.5868131868131868,ORDERED with align,0,0,1.0,ORDERED with align,9,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,7,4,0.9751552795031055,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,0.9999999999999999,ORDERED with align
1,0,1.0,ORDERED with align,4,3,0.9559570863918693,ORDERED with align,2,1,0.8636363636363636,ORDERED with align,2,1,0.8636363636363636,ORDERED with align,2,1,0.8636363636363636,ORDERED with align,1,0,1.0,ORDERED with align,2,1,0.9805194805194805,ORDERED with align,2,1,0.8636363636363636,ORDERED with align,1,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,4,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align
4,2,0.4047619047619048,ORDERED with align,3,1,0.9,ORDERED with align,4,2,0.4047619047619048,ORDERED with align,4,2,0.4047619047619048,ORDERED with align,4,2,0.4047619047619048,ORDERED with align,4,2,0.4047619047619048,ORDERED with align,4,2,0.4047619047619048,ORDERED with align,4,2,0.4047619047619048,ORDERED with align,4,2,0.4047619047619048,ORDERED with align
2,0,1.0,ORDERED with align,2,1,0.9991304347826085,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,3,1,0.9593450028232637,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,2,0,1.0,ORDERED with align,2,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
2,1,0.7692307692307693,ORDERED with align,11,2,0.9958720330237358,ORDERED with align,0,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align,2,1,0.7692307692307693,ORDERED with align,2,1,0.7692307692307693,ORDERED with align,1,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,1.0,ORDERED with align
1,0,1.0,ORDERED with align,4,3,0.6783216783216784,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
6,0,1.0,ORDERED with align,6,0,0.9999999999999999,ORDERED with align,6,0,1.0,ORDERED with align,6,0,1.0,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,6,0,1.0,ORDERED with align,6,0,1.0,ORDERED with align
0,0,1.0,ORDERED with align,10,5,0.9851540616246499,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
1,0,0.9999999999999999,ORDERED with align,8,1,0.9849624060150375,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align,1,0,0.9999999999999999,ORDERED with align
0,0,1.0,ORDERED with align,8,1,0.985294117647059,ORDERED with align,7,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align,11,0,1.0,ORDERED with align,0,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align,7,0,1.0,ORDERED with align
17,1,0.7,ORDERED with align,11,2,0.988235294117647,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align,1,0,1.0,ORDERED with align
